Rank,Candidate ID,Headline,Experience,Skill Score,Semantic Score,Evidence Score,Experience Score,Location Score,GitHub Score,Profile Score,Final Score,Recommendation
54,CAND_0000011,QA Engineer | Cloud & DevOps,1.9,6.25,55.26,15.62,38.0,100,32.3,59.2,33.78,Poor Match
55,CAND_0000072,Frontend Engineer | Backend systems & APIs,6.8,0.0,55.05,10.0,100,0,19.8,37.6,33.63,Poor Match
56,CAND_0000080,Graphic Designer | Helping teams scale,8.2,0.0,52.49,10.0,100,0,-1,69.3,33.54,Poor Match
57,CAND_0000098,Business Analyst | Helping teams scale,1.7,6.25,59.83,12.81,34.0,100,-1,83.1,33.29,Poor Match
58,CAND_0000018,Frontend Engineer | Full-stack development,6.5,0.0,58.07,10.0,100,0,-1,34.8,33.21,Poor Match
59,CAND_0000050,Business Analyst | Helping teams scale,13.3,0.0,53.28,10.0,90,0,44.7,42.5,33.18,Poor Match
60,CAND_0000005,Accountant | Helping teams scale,10.8,0.0,53.86,10.0,90,0,-1,84.6,33.14,Poor Match
61,CAND_0000042,HR Manager | 5.0+ yrs experience,4.9,0.0,54.19,10.0,98.0,0,-1,58.6,33.13,Poor Match
62,CAND_0000041,Operations Manager | Helping teams scale,13.5,0.0,54.99,10.0,90,0,-1,75.9,32.99,Poor Match
63,CAND_0000064,Accountant | Helping teams scale,4.4,0.0,54.92,10.0,88.0,0,-1,70.6,32.41,Poor Match
64,CAND_0000079,Customer Support | Driving business outcomes,13.1,0.0,52.27,10.0,90,0,-1,76.7,32.35,Poor Match
65,CAND_0000049,Mechanical Engineer | Helping teams scale,11.8,0.0,54.54,10.0,90,0,-1,64.0,32.28,Poor Match
66,CAND_0000019,Project Manager | 6.5+ yrs experience,6.4,0.0,53.17,10.0,100,0,-1,38.6,32.17,Poor Match
67,CAND_0000051,Cloud Engineer | Cloud & DevOps,6.2,0.0,53.39,10.0,100,0,-1,34.8,32.04,Poor Match
68,CAND_0000067,Frontend Engineer | Cloud & DevOps,3.8,6.25,55.11,12.81,76.0,0,2.2,47.1,31.77,Poor Match
69,CAND_0000034,Business Analyst | Driving business outcomes,14.2,6.25,48.12,12.81,90,0,-1,41.2,31.66,Poor Match
70,CAND_0000037,Business Analyst | 14.3+ yrs experience,14.2,6.25,50.36,12.81,90,0,-1,25.6,31.44,Poor Match
71,CAND_0000058,HR Manager | Helping teams scale,10.0,0.0,58.26,10.0,90,0,-1,28.2,31.42,Poor Match
72,CAND_0000002,Operations Manager | 12.5+ yrs experience,12.4,0.0,47.93,10.0,90,0,-1,78.7,31.37,Poor Match
73,CAND_0000030,Marketing Manager | Driving business outcomes,9.8,0.0,47.16,10.0,90,0,21.7,59.7,31.36,Poor Match
74,CAND_0000069,Business Analyst | 13.0+ yrs experience,12.8,0.0,51.39,10.0,90,0,-1,55.0,31.05,Poor Match
75,CAND_0000065,Project Manager | Driving business outcomes,9.6,6.25,47.46,12.81,90,0,-1,31.8,31.03,Poor Match
76,CAND_0000084,Marketing Manager | 10.6+ yrs experience,10.3,0.0,57.22,10.0,90,0,-1,25.1,31.01,Poor Match
77,CAND_0000045,Project Manager | 12.2+ yrs experience,11.9,0.0,56.91,10.0,90,0,-1,25.4,30.95,Poor Match
78,CAND_0000073,Project Manager | 12.1+ yrs experience,11.9,0.0,48.41,10.0,90,0,-1,65.8,30.84,Poor Match
79,CAND_0000009,Mechanical Engineer | Driving business outcomes,10.9,0.0,51.85,10.0,90,0,-1,39.6,30.39,Poor Match
80,CAND_0000017,Accountant | 12.3+ yrs experience,12.2,0.0,51.4,10.0,90,0,-1,38.7,30.23,Poor Match
81,CAND_0000036,Project Manager | 11.3+ yrs experience,11.2,0.0,40.92,10.0,90,0,-1,81.8,29.77,Poor Match
82,CAND_0000081,Accountant | 10.1+ yrs experience,10.0,0.0,51.81,10.0,90,0,-1,27.4,29.77,Poor Match
83,CAND_0000090,QA Engineer | Full-stack development,1.7,0.0,55.23,10.0,34.0,100,-1,77.7,29.74,Poor Match
84,CAND_0000039,Marketing Manager | Helping teams scale,3.8,0.0,59.64,10.0,76.0,0,-1,28.3,29.68,Poor Match
85,CAND_0000047,Project Manager | Helping teams scale,2.3,6.25,56.82,12.81,46.0,0,-1,79.7,29.16,Poor Match
86,CAND_0000059,Frontend Engineer | Full-stack development,1.5,0.0,53.82,10.0,30.0,100,-1,66.3,28.22,Poor Match
87,CAND_0000004,Marketing Manager | Driving business outcomes,3.7,0.0,53.36,10.0,74.0,0,-1,28.5,27.81,Poor Match
88,CAND_0000094,Graphic Designer | Driving business outcomes,2.6,0.0,54.92,10.0,52.0,0,10.1,72.5,27.66,Poor Match
89,CAND_0000099,Full Stack Developer | Backend systems & APIs,2.6,0.0,55.02,10.0,52.0,0,-1,71.3,27.07,Poor Match
90,CAND_0000057,Customer Support | 3.3+ yrs experience,3.2,0.0,53.84,10.0,64.0,0,-1,34.4,26.73,Poor Match
91,CAND_0000056,Frontend Engineer | Cloud & DevOps,1.2,12.5,56.04,15.62,24.0,0,-1,37.7,25.69,Poor Match
92,CAND_0000066,Content Writer | 2.4+ yrs experience,2.3,6.25,51.04,12.81,46.0,0,-1,34.6,25.46,Poor Match
93,CAND_0000022,Mechanical Engineer | Driving business outcomes,1.1,6.25,51.51,12.81,22.0,0,-1,63.1,23.41,Poor Match
94,CAND_0000040,Customer Support | Helping teams scale,1.6,0.0,56.42,10.0,32.0,0,-1,39.5,22.83,Poor Match
95,CAND_0000013,Civil Engineer | Driving business outcomes,1.1,6.25,44.82,12.81,22.0,0,35.6,44.2,22.62,Poor Match
96,CAND_0000052,Mechanical Engineer | Helping teams scale,1.3,0.0,58.42,10.0,26.0,0,-1,31.6,22.03,Poor Match
97,CAND_0000012,Operations Manager | Driving business outcomes,1.1,0.0,54.89,10.0,22.0,0,-1,53.4,21.64,Poor Match
98,CAND_0000003,Customer Support | 1.1+ yrs experience,1.1,0.0,58.73,10.0,22.0,0,-1,31.9,21.53,Poor Match
99,CAND_0000028,Operations Manager | Driving business outcomes,1.1,0.0,50.65,10.0,22.0,0,-1,51.2,20.47,Poor Match
100,CAND_0000089,Mechanical Engineer | Driving business outcomes,1.1,0.0,50.73,10.0,22.0,0,-1,47.9,20.33,Poor Match
